,FY 2015/2016,,,,,,,FY 2016/2017,,,,,,,FY 2017/20188,,,,,,,FY 2018/19,,,,,,
,,APPROVED,,ACTUAL,,TOTAL EXPENDITURE,,,APPROVED,,ACTUAL,,TOTAL EXPENDITURE,,,APPROVED,,ACTUAL,,TOTAL EXPENDITURE,,,APPROVED,,TOTAL APPROVED,ACTUAL,,TOTAL EXPENDITURE
,EQUITABLE SHARE ONLY REVISED,RECURRENT  EXPENDITURE,DEVELOPMENT EXPENDITURE,RECURENT EXPENDITURE,DEVELOPMENT EXPENDITURE,TOTAL APPROVED QUARTER 1,TOTAL ACTUAL,EQUITABLE SHARE ONLY REVISED,RECURRENT  EXPENDITURE,DEVELOPMENT EXPENDITURE,RECURENT EXPENDITURE,DEVELOPMENT EXPENDITURE,TOTAL APPROVED QUARTER 1,TOTAL ACTUAL,EQUITABLE SHARE ONLY REVISED,RECURRENT  EXPENDITURE,DEVELOPMENT EXPENDITURE,RECURENT EXPENDITURE,DEVELOPMENT EXPENDITURE,TOTAL APPROVED QUARTER 2,TOTAL ACTUAL,EQUITABLE SHARE,TOTAL RECURRENT,DEVELOPMENT EXPENDITURE,APPROVED TOTAL,RECURENT EXPENDITURE,DEVELOPMENT EXPENDITURE,TOTAL ACTUAL
COUNTY,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,Ksh. Million,Ksh. Million,Ksh. Million,KSh. Million,KSh. Million,KSh. Million
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baringo," 4,440.58 ",3430.01,2414.02,"3,415.48","1,273.08","5,844.03","4,688.56"," 4,791.44 ",3921.23,2600.12,"3,748.09","1,466.30"," 6,521.34 ","5,214.39"," 4,983.00 "," 3,982.98 "," 2,659.28 ","4,214.92",987.44," 6,642.26 ","5,202.36",5086.8,4296.12,3733.25,8029.37,4394.23,1158.45,5552.68
Bomet," 4,706.89 ",2912.43,2325.32,"2,769.96","2,300.87","5,237.75","5,070.83"," 5,078.80 ",3962.96,1682.04,"3,322.59","1,491.95"," 5,644.99 ","4,814.54"," 5,254.80 "," 4,083.39 "," 1,812.66 ","4,074.41",873.54," 5,896.05 ","4,947.94",5934.6,4399.93,2969.87,7369.8,4821.66,2062.22,6883.88
Bungoma," 7,675.73 ",5726.29,3397.36,"5,251.90","3,022.90","9,123.65","8,274.80"," 8,282.21 ",5911.56,3289.52,"6,147.99","1,844.19"," 9,201.08 ","7,992.18"," 8,758.00 "," 6,530.86 "," 3,497.29 ","7,123.60","1,507.06"," 10,028.15 ","8,630.66",8949,8052.68,4956.84,13009.52,7226.41,2344.53,9570.95
Busia," 5,440.25 ",3311.8,2958.3,"3,409.77","2,487.21","6,270.09","5,865.76"," 5,870.10 ",4634.42,3831.58,"3,917.79","1,963.61"," 8,466.00 ","5,881.40"," 5,828.60 "," 4,992.35 "," 1,986.96 ","4,730.26","1,078.18"," 6,979.31 ","5,808.44",5966,4444.35,2581.77,7026.12,4707.59,1941.07,6648.66
Elgeyo/Marakwet," 3,270.44 ",2519.93,1145.52,"2,274.58",653.94,"3,665.45","2,928.52"," 3,528.85 ",2886.76,1852.41,"2,797.01","1,167.67"," 4,739.17 ","3,964.68"," 3,624.00 "," 2,635.78 "," 1,361.26 ","2,921.05",948.90," 3,997.04 ","3,869.95",3768,3096.02,1924,5020.01,3094.30,1333.30,4427.60
Embu," 3,837.94 ",3301.1,1574.61,"3,024.85",932.31,"4,875.71","3,957.16"," 4,141.19 ",3770.06,2519.52,"3,660.08","2,099.16"," 6,289.58 ","5,759.24"," 4,107.20 "," 3,822.74 "," 1,895.45 ","3,971.86","1,090.53"," 5,718.19 ","5,062.39",4458.8,4507.47,1933.08,6440.55,4552.03,1361.23,5913.26
Garissa," 5,771.69 ",3917.72,3443.87,"3,945.50","2,600.90","7,361.59","6,546.40"," 6,227.73 ",3917.72,3443.87,"4,681.63","2,442.06"," 7,361.59 ","7,123.69"," 6,659.10 "," 5,593.07 "," 2,371.16 ","5,507.07","1,012.26"," 7,964.23 ","6,519.33",6939.4,5760.03,4402.57,10162.6,6615.23,2375.45,8990.68
HomaBay," 5,634.96 ",3949.72,2212.63,"3,873.01","1,903.11","6,162.35","5,776.12"," 6,080.19 ",4342.76,2353.88,"4,319.67","1,417.52"," 6,696.64 ","5,737.18"," 6,523.20 "," 4,980.16 "," 2,211.00 ","4,067.27","1,078.23"," 7,191.16 ","5,145.50",6688.2,4976.89,2755.2,7732.09,4726.99,1011.12,5738.11
Isiolo," 3,056.57 ",2115,1685.83,"2,127.49","1,118.64","3,800.82","3,246.13"," 3,298.07 ",2264.09,1482.33,"2,200.22","1,266.24"," 3,746.42 ","3,466.45"," 3,775.00 "," 2,765.69 "," 1,574.59 ","2,251.91","1,138.42"," 4,340.28 ","3,390.33",3925,2854.21,1873.42,4727.63,3281.22,997.92,4279.14
Kajiado," 4,412.63 ",3927.42,2661.37,"3,595.71","1,544.66","6,588.79","5,140.37"," 4,761.28 ",4354.48,2655.9,"3,811.52","1,250.4"," 7,010.38 ","5,061.92"," 5,768.20 "," 4,363.04 "," 1,871.12 ","3,936.65","1,185.16"," 6,234.16 ","5,121.81",5997.4,5444.39,4069.65,9514.04,5335.68,2391.17,7726.84
Kakamega," 8,908.23 ",6275.62,6054.12,"5,605.76","4,246.53","12,329.74","9,852.29"," 9,612.09 ",6484.74,6715.4,"5,636.36","5,208.76"," 13,200.14 ","10,845.12"," 9,935.80 "," 6,844.19 "," 6,325.77 ","6,664.04","3,879.96"," 13,169.96 ","10,544.00",10330.6,7499.28,7008.47,14507.75,7194.63,4983.67,12178.30
Kericho," 4,505.06 ",3266.58,1814.48,"3,135.78","1,676.54","5,081.06","4,812.32"," 4,861.02 ",3850.07,2391.15,"3,578.22","2,022.50"," 6,241.21 ","5,600.72"," 5,224.60 "," 4,452.18 "," 1,828.12 ","4,180.28",996.25," 6,280.30 ","5,176.53",5714.8,4518.23,2665.89,7184.12,4714.78,1417.09,6131.87
Kiambu," 7,463.54 ",7980.22,3968.83,"8,161.63","2,265.67","11,949.05","10,427.29"," 8,053.26 ",8769.88,3990.08,"8,301.08","2,510.49"," 12,759.96 ","10,811.57"," 9,664.00 "," 9,417.66 "," 3,996.58 ","8,929.99","1,833.63"," 13,414.24 ","10,763.62",9357.2,9595.65,6027.43,15623.08,9765.02,4495.23,14260.25
Kilifi," 7,441.22 ",5588.38,5931.81,"4,743.50","3,725.87","11,520.19","8,469.37"," 8,029.17 ",6076.82,6954.61,"5,711.10","4,473.13"," 13,031.43 ","10,184.22"," 9,950.90 "," 7,971.82 "," 3,923.36 ","6,406.26","3,121.95"," 11,895.18 ","9,528.21",10833,8154.67,5653.1,13807.77,6074.94,3566.78,9641.72
Kirinyaga," 3,538.22 ",3066.08,2255.24,"3,075.46","1,065.09","5,321.31","4,140.55"," 3,817.78 ",3066.79,1357.66,"3,163.04","1,083.54"," 4,424.44 ","4,246.58"," 4,409.20 "," 3,339.44 "," 1,431.19 ","3,871.06",722.27," 4,770.63 ","4,593.34",4113.4,3671.39,2481.53,6152.92,4025.62,1138.54,5164.16
Kisii," 7,093.63 ",5301.3,3663.58,"5,399.74","2,540.71","8,964.88","7,940.45"," 7,654.11 ",6103.97,3952.04,"5,970.72","2,014.89"," 10,056.01 ","7,985.61"," 7,429.20 "," 6,619.78 "," 3,408.90 ","6,681.75","1,901.23"," 10,028.68 ","8,582.98",7693,7708.07,4288.73,11996.8,7276.27,2285.49,9561.76
Kisumu," 5,681.27 ",5706.95,3930.67,"4,611.29","1,828.68","9,637.62","6,439.96"," 6,130.16 ",5925.35,2539.75,"4,855.29","1,982.57"," 8,465.10 ","6,837.85"," 6,553.40 "," 6,621.01 "," 3,037.10 ","5,758.33",669.36," 9,658.11 ","6,427.69",6908,6384.89,2833,9217.89,5703.04,2675.71,8378.75
Kitui," 7,267.27 ",4790.95,5434.84,"4,098.70","3,771.92","10,225.79","7,870.62"," 7,841.48 ",5594.9,4871.57,"4,625.95","3,688.65"," 10,466.47 ","8,314.60"," 8,652.30 "," 6,250.40 "," 3,623.01 ","5,845.59","3,281.01"," 9,873.41 ","9,126.61",8729.2,6805.63,4969.6,11775.23,6563.10,3304.56,9867.66
Kwale," 5,125.70 ",2834.28,4777.2,"2,543.64","3,257.63","7,611.48","5,801.27"," 5,530.69 ",3031.61,5105.16,"3,803.95","2,056.69"," 8,136.77 ","5,860.63"," 7,248.00 "," 4,921.33 "," 4,789.37 ","4,444.79","2,143.28"," 9,710.70 ","6,588.07",7536,4764.23,7468.68,12232.92,5084.61,2609.96,7694.57
Laikipia," 3,449.55 ",2859.31,2270.07,"2,676.56","1,317.55","5,129.38","3,994.11"," 3,722.11 ",3409.17,2533.97,"3,163.58","1,547.09"," 5,943.14 ","4,710.67"," 4,499.80 "," 3,471.79 "," 2,079.66 ","3,791.36","1,011.32"," 5,551.45 ","4,802.68",4113.4,4052.92,2483.38,6536.31,3923.97,1786.32,5710.29
Lamu," 2,051.88 ",1579.29,882.57,"1,588.90",916.56,"2,461.85","2,505.46"," 2,214.01 ",1809.97,794.83,"1,526.22",467.34," 2,604.80 ","1,993.56"," 2,476.40 "," 1,879.96 ", 819.10 ,"1,699.75",361.27," 2,699.06 ","2,061.02",3548.2,2604.9,1897.47,4502.38,2208.63,693.60,2902.23
Machakos," 6,768.65 ",5694.13,5250.49,"5,788.69","2,539.96","10,944.61","8,328.65"," 7,303.46 ",7539.57,3336.43,"5,805.22","3,343.57"," 10,876.00 ","9,148.79"," 7,399.00 "," 7,001.93 "," 2,988.25 ","6,380.61","1,021.77"," 9,990.18 ","7,402.38",8321,7630.3,4600.8,12231.11,8554.73,3097.87,11652.59
Makueni," 5,969.67 ",4477.68,4972.25,"4,001.25","1,504.47","9,449.93","5,505.73"," 6,441.35 ",4921.71,5601.7,"4,885.98","4,036.53"," 10,523.40 ","8,922.50"," 6,825.20 "," 5,871.96 "," 3,748.54 ","5,591.49","1,603.30"," 9,620.50 ","7,194.78",7127.8,5619.53,3306.33,8925.86,5780.73,2655.81,8436.55
Mandera," 8,955.70 ",4554.63,6884.44,"4,101.76","5,450.70","11,439.07","9,552.46"," 9,663.32 ",3499.47,7694.42,"4,365.46","5,831.48"," 11,193.89 ","10,196.94"," 9,739.50 "," 6,120.07 "," 6,202.35 ","5,644.55","3,892.28"," 12,322.42 ","9,536.83",10142.2,6423.74,6955,13378.75,6291.37,5750.39,12041.77
Marsabit," 5,189.46 ",3027.76,2807.05,"3,042.80","2,235.94","5,834.81","5,278.74"," 5,599.50 ",3553.39,3056.52,"3,349.74","2,791.75"," 6,609.91 ","6,141.49"," 6,583.60 "," 4,079.39 "," 3,549.94 ","4,027.18","2,540.47"," 7,629.33 ","6,567.66",7002.2,4062.54,3758,7820.54,3862.71,3604.99,7467.70
Meru," 6,493.60 ",4938.63,3556.52,"4,550.23","1,661.35","8,495.15","6,211.58"," 7,006.68 ",6017.89,3624.94,"6,105.03","2,238.99"," 9,642.83 ","8,344.02"," 7,701.00 "," 6,807.16 "," 2,922.13 ","5,987.70",812.69," 9,729.29 ","6,800.38",8007,7197.93,3082.47,10280.39,7139.04,2641.43,9780.47
Migori," 5,836.85 ",3581.28,2925.64,"3,720.31","2,152.73","6,506.93","5,873.04"," 6,298.04 ",4442.94,2841.13,"3,949.18","1,869.61"," 7,284.06 ","5,818.79"," 6,462.80 "," 4,904.44 "," 2,876.18 ","4,084.71","1,848.99"," 7,780.62 ","5,933.70",6719.6,5294.41,3245.6,8540.01,4552.55,1814.50,6367.05
Mombasa," 5,197.89 ",6751.95,4165.51,"5,770.44","2,774.61","10,917.46","8,545.04"," 5,608.59 ",6849.88,3075.87,"6,390.49","2,743.15"," 9,925.75 ","9,133.63"," 8,154.00 "," 8,571.88 "," 3,962.57 ","7,393.74","2,908.11"," 12,534.45 ","10,301.86",8226.8,8626.12,4965.65,13591.77,9422.62,3106.50,12529.11
Murang’a," 5,356.00 ",3356.97,3301.74,"3,327.59","2,719.23","6,658.71","6,046.82"," 5,779.19 ",4454.13,2890.51,"4,394.89","2,037.43"," 7,344.63 ","6,432.31"," 6,191.00 "," 5,382.31 "," 3,234.87 ","4,369.13","2,199.00"," 8,617.18 ","6,568.13",6248.6,4927.54,3883.24,8810.78,4658.74,2502.68,7161.42
NairobiCity," 12,996.61 ",19819.26,11009.43,"19,784.87","4,166.16","30,828.69","23,951.02"," 14,023.51 ",23161.54,11392.99,"21,078.91","3,779.73"," 34,554.53 ","24,858.64"," 15,402.00 "," 24,120.04 "," 11,787.32 ","22,362.22","2,179.31"," 35,907.36 ","24,541.53",15794.2,21473.79,10836.45,32310.24,23497.73,5900.44,29398.17
Nakuru," 8,116.33 ",8356.67,5375.41,"8,154.72","2,230.89","13,732.08","10,385.61"," 8,757.62 ",8963.23,5779.1,"8,613.38","2,049.83"," 14,742.33 ","10,663.21"," 9,271.40 "," 9,765.68 "," 5,898.68 ","7,977.11","1,576.63"," 15,664.36 ","9,553.74",9451.4,10319.9,7995.85,18315.75,8659.22,1477.68,10136.91
Nandi," 4,755.11 ",2770.6,2672.58,"3,019.66","1,974.92","5,443.18","4,994.58"," 5,130.82 ",4377.21,2526.11,"3,497.04","1,803.76"," 6,903.32 ","5,300.80"," 5,103.80 "," 4,589.99 "," 2,154.91 ","4,079.13",716.92," 6,744.90 ","4,796.04",5369.4,5106.58,3077.66,8184.24,4994.32,1732.67,6726.99
Narok," 5,287.90 ",5061.18,3938.16,"5,130.30","2,108.60","8,999.35","7,238.91"," 5,705.71 ",5537.7,4273.61,"5,323.29","2,150.67"," 9,811.31 ","7,473.96"," 6,523.20 "," 6,118.65 "," 4,837.35 ","6,321.54","1,928.02"," 10,956.00 ","8,249.56",6374.2,6264.42,3269.62,9534.04,6952.16,3008.04,9960.21
Nyamira," 4,154.54 ",2904.5,2639.68,"3,033.54","1,284.15","5,544.18","4,317.69"," 4,482.80 ",4082.1,1853.02,"3,522.39",979.21," 5,935.12 ","4,501.60"," 4,620.60 "," 4,155.17 "," 1,718.91 ","3,703.45",527.66," 5,874.08 ","4,231.12",4772.8,4578.54,1947.89,6526.43,4481.79,1120.56,5602.35
Nyandarua," 4,307.07 ",2804.39,1475.81,"3,195.13","1,679.72","4,280.20","4,874.85"," 4,647.38 ",3693.37,1828.6,"3,320.30","1,642.72"," 5,521.97 ","4,963.02"," 4,771.60 "," 3,841.60 "," 1,846.18 ","3,649.34",895.38," 5,687.78 ","4,544.72",4929.8,4217.28,2102.37,6319.64,3893.97,1581.90,5475.87
Nyeri," 4,449.22 ",4286.75,1997.46,"3,804.18","1,161.27","6,284.21","4,965.45"," 4,800.76 ",4419.61,1857.94,"4,464.40","1,220.70"," 6,277.55 ","5,685.09"," 4,952.80 "," 5,506.53 "," 2,454.58 ","4,506.03","1,140.32"," 7,961.11 ","5,646.34",5024,5155.89,2516.17,7672.06,5161.05,1884.35,7045.40
Samburu," 3,552.28 ",2566.32,1494.38,"2,503.00","1,156.64","4,060.70","3,659.64"," 3,832.96 ",2626.35,1689.63,"2,903.56","1,263.84"," 4,315.97 ","4,167.40"," 3,805.20 "," 3,062.23 "," 1,463.16 ","3,038.00",549.02," 4,525.39 ","3,587.02",4427.4,3382.21,1929.91,5312.11,3438.00,745.01,4183.01
Siaya," 4,995.30 ",3746.47,2511.51,"3,098.21","1,835.09","6,257.98","4,933.30"," 5,389.99 ",3836.82,3492.67,"3,646.81","1,983.35"," 7,329.49 ","5,630.16"," 5,526.60 "," 4,618.91 "," 1,979.53 ","3,333.46",777.57," 6,598.44 ","4,111.03",6028.8,4442.42,2565.17,7007.59,4526.53,1175.71,5702.24
Taita/Taveta," 3,309.57 ",2697.44,1188.53,"2,948.67",513.56,"3,885.97","3,462.23"," 3,571.07 ",3150.09,1502.22,"2,979.38",405.65," 4,652.31 ","3,385.03"," 3,895.80 "," 3,247.49 "," 1,399.96 ","3,131.10",206.45," 4,647.45 ","3,337.56",4050.6,3870.33,1975.3,5845.63,3764.96,1301.83,5066.79
TanaRiver," 3,984.57 ",1767.5,2526.16,"1,614.58","2,250.44","4,293.66","3,865.02"," 4,299.40 ",2227.56,2357.66,"1,767.24","1,779.13"," 4,585.21 ","3,546.37"," 5,345.40 "," 3,336.71 "," 2,458.32 ","2,258.28",918.61," 5,795.03 ","3,176.89",5557.8,4573.56,2736.65,7310.21,3203.41,1588.65,4792.06
Tharaka-Nithi," 3,137.57 ",2082.2,1471.44,"1,905.30",790.94,"3,553.64","2,696.24"," 3,385.47 ",2542.64,1214.78,"2,227.13",546.72," 3,757.41 ","2,773.84"," 3,684.40 "," 2,889.97 "," 1,616.18 ","2,570.41","1,080.39"," 4,506.15 ","3,650.80",3642.4,3241.19,1603.59,4844.78,3206.89,1395.66,4602.55
TransNzoia," 5,099.61 ",3364.16,2928.21,"3,543.53","1,789.80","6,292.37","5,333.33"," 5,502.55 ",3648.97,3222.04,"4,293.25","1,711.19"," 6,871.01 ","6,004.44"," 5,647.40 "," 4,429.65 "," 2,393.48 ","3,137.98","1,077.21"," 6,823.13 ","4,215.20",5620.6,4437.33,3214.43,7651.76,3992.57,2395.37,6387.94
Turkana," 10,479.03 ",4131.75,9251.56,"3,757.05","6,402.92","13,383.31","10,159.96"," 11,307.01 ",4207.94,10818.38,"5,031.50","6,159.91"," 15,026.32 ","11,191.41"," 10,071.70 "," 7,232.46 "," 3,975.67 ","6,185.97","1,944.93"," 11,208.13 ","8,130.91",10770.2,8218.31,5317.15,13535.46,8673.75,1675.36,10349.11
UasinGishu," 5,190.88 ",4066.57,3454.18,"3,991.47","2,220.83","7,520.75","6,212.30"," 5,601.03 ",4563.37,3085.1,"4,134.22","1,460.35"," 7,648.47 ","5,594.56"," 5,707.80 "," 5,041.72 "," 2,384.17 ","4,732.21","1,597.04"," 7,425.89 ","6,329.25",5934.6,5220.31,3207.77,8428.08,5109.83,1635.43,6745.26
Vihiga," 3,871.41 ",2536.18,1954.65,"2,037.97",970.28,"4,490.83","3,008.25"," 4,177.30 ",3194.67,1535.96,"2,925.55",793.12," 4,730.63 ","3,718.68"," 4,409.20 "," 3,346.29 "," 1,444.58 ","2,407.91",297.47," 4,790.87 ","2,705.38",4458.8,4502.56,1938.08,6440.64,4129.69,1569.38,5699.07
Wajir," 7,232.74 ",3728.66,4411.04,"3,966.70","3,800.35","8,139.71","7,767.05"," 7,804.22 ",4285.9,4012.86,"4,559.41","3,688.78"," 8,298.77 ","8,248.19"," 8,138.90 "," 5,050.71 "," 4,191.23 ","5,572.01",842.54," 9,241.94 ","6,414.55",8478,6342.7,6832.99,13175.69,5861.30,4520.07,10381.37
WestPokot," 4,313.69 ",2946,1781.6,"2,755.30","1,595.30","4,727.60","4,350.60"," 4,654.53 ",3288.59,1752.72,"3,238.44","1,565.65"," 5,041.30 ","4,804.09"," 4,741.40 "," 3,468.59 "," 1,638.87 ","3,426.57",983.31," 5,107.46 ","4,409.88",4929.8,3869.26,1772.93,5642.19,3899.50,1619.91,5519.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 259,774.50 "," 200,380.01 "," 160,747.67 "," 191,876.46 "," 103,421.22 "," 361,127.66 "," 295,266.43 "," 280,300.00 "," 227,175.95 "," 163,234.30 "," 215,714.29 "," 103,341.57 "," 390,410.15 "," 319,055.76 "," 302,000.00 "," 258,101.15 "," 141,630.84 "," 236,944.03 "," 66,886.64 "," 399,731.99 "," 303,830.70 ",314000," 272,590.64 "," 177,614.00 "," 450,204.65 ",268999.13,107435.61,376434.74
